+--------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Counter                                          | Value                                                                                                                                                                            |
| cluster_local_cluster_repl_other_bytes           | 0                                                                                                                                                                                |
| cluster_local_cluster_received                   | 2                                                                                                                                                                                |
| cluster_local_cluster_received_bytes             | 193                                                                                                                                                                              |
| cluster_local_cluster_local_commits              | 0                                                                                                                                                                                |
| cluster_local_cluster_local_cert_failures        | 0                                                                                                                                                                                |
| cluster_local_cluster_local_replays              | 0                                                                                                                                                                                |
| cluster_local_cluster_local_send_queue           | 0                                                                                                                                                                                |
| cluster_local_cluster_local_send_queue_max       | 1                                                                                                                                                                                |
| cluster_local_cluster_local_send_queue_min       | 0                                                                                                                                                                                |
| cluster_local_cluster_local_send_queue_avg       | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_local_recv_queue           | 0                                                                                                                                                                                |
| cluster_local_cluster_local_recv_queue_max       | 2                                                                                                                                                                                |
| cluster_local_cluster_local_recv_queue_min       | 0                                                                                                                                                                                |
| cluster_local_cluster_local_recv_queue_avg       | 0.500000                                                                                                                                                                         |
| cluster_local_cluster_local_cached_downto        | 0                                                                                                                                                                                |
| cluster_local_cluster_flow_control_paused_ns     | 0                                                                                                                                                                                |
| cluster_local_cluster_flow_control_paused        | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_flow_control_sent          | 0                                                                                                                                                                                |
| cluster_local_cluster_flow_control_recv          | 0                                                                                                                                                                                |
| cluster_local_cluster_flow_control_interval      | [ 100, 100 ]                                                                                                                                                                     |
| cluster_local_cluster_flow_control_interval_low  | 100                                                                                                                                                                              |
| cluster_local_cluster_flow_control_interval_high | 100                                                                                                                                                                              |
| cluster_local_cluster_flow_control_status        | OFF                                                                                                                                                                              |
| cluster_local_cluster_cert_deps_distance         | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_apply_oooe                 | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_apply_oool                 | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_apply_window               | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_commit_oooe                | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_commit_oool                | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_commit_window              | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_local_state                | 4                                                                                                                                                                                |
| cluster_local_cluster_local_state_comment        | Synced                                                                                                                                                                           |
| cluster_local_cluster_cert_index_size            | 0                                                                                                                                                                                |
| cluster_local_cluster_cert_bucket_count          | 2                                                                                                                                                                                |
| cluster_local_cluster_gcache_pool_size           | 1320                                                                                                                                                                             |
| cluster_local_cluster_causal_reads               | 0                                                                                                                                                                                |
| cluster_local_cluster_cert_interval              | 0.000000                                                                                                                                                                         |
| cluster_local_cluster_open_transactions          | 0                                                                                                                                                                                |
| cluster_local_cluster_open_connections           | 0                                                                                                                                                                                |
| cluster_local_cluster_ist_receive_status         |                                                                                                                                                                                  |
| cluster_local_cluster_ist_receive_seqno_start    | 0                                                                                                                                                                                |
| cluster_local_cluster_ist_receive_seqno_current  | 0                                                                                                                                                                                |
| cluster_local_cluster_ist_receive_seqno_end      | 0                                                                                                                                                                                |
| cluster_local_cluster_incoming_addresses         | 127.0.0.1:9312,127.0.0.1:9322:replication                                                                                                                                        |
| cluster_local_cluster_cluster_weight             | 1                                                                                                                                                                                |
| cluster_local_cluster_desync_count               | 0                                                                                                                                                                                |
| cluster_local_cluster_evs_delayed                |                                                                                                                                                                                  |
| cluster_local_cluster_evs_evict_list             |                                                                                                                                                                                  |
| cluster_local_cluster_evs_repl_latency           | 0/0/0/0/0                                                                                                                                                                        |
| cluster_local_cluster_evs_state                  | OPERATIONAL                                                                                                                                                                      |
| cluster_local_cluster_gcomm_uuid                 | 56cec4cd-ed3f-11f0-b899-3e7917839db5                                                                                                                                             |
+--------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

