+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Counter                                       | Value                                                                                                                                                                            |
| cluster_cluster001_last_committed             | 8754                                                                                                                                                                             |
| cluster_cluster001_replicated                 | 2140                                                                                                                                                                             |
| cluster_cluster001_replicated_bytes           | 732344                                                                                                                                                                           |
| cluster_cluster001_repl_keys                  | 3735                                                                                                                                                                             |
| cluster_cluster001_repl_keys_bytes            | 81240                                                                                                                                                                            |
| cluster_cluster001_repl_data_bytes            | 506356                                                                                                                                                                           |
| cluster_cluster001_repl_other_bytes           | 0                                                                                                                                                                                |
| cluster_cluster001_received                   | 6692                                                                                                                                                                             |
| cluster_cluster001_received_bytes             | 2213268                                                                                                                                                                          |
| cluster_cluster001_local_commits              | 1931                                                                                                                                                                             |
| cluster_cluster001_local_cert_failures        | 0                                                                                                                                                                                |
| cluster_cluster001_local_replays              | 0                                                                                                                                                                                |
| cluster_cluster001_local_send_queue           | 0                                                                                                                                                                                |
| cluster_cluster001_local_send_queue_max       | 1                                                                                                                                                                                |
| cluster_cluster001_local_send_queue_min       | 0                                                                                                                                                                                |
| cluster_cluster001_local_send_queue_avg       | 0.000000                                                                                                                                                                         |
| cluster_cluster001_local_recv_queue           | 0                                                                                                                                                                                |
| cluster_cluster001_local_recv_queue_max       | 2                                                                                                                                                                                |
| cluster_cluster001_local_recv_queue_min       | 0                                                                                                                                                                                |
| cluster_cluster001_local_recv_queue_avg       | 0.00014943                                                                                                                                                                       |
| cluster_cluster001_local_cached_downto        | 1                                                                                                                                                                                |
| cluster_cluster001_flow_control_paused_ns     | 0                                                                                                                                                                                |
| cluster_cluster001_flow_control_paused        | 0.000000                                                                                                                                                                         |
| cluster_cluster001_flow_control_sent          | 0                                                                                                                                                                                |
| cluster_cluster001_flow_control_recv          | 0                                                                                                                                                                                |
| cluster_cluster001_flow_control_interval      | [ 173, 173 ]                                                                                                                                                                     |
| cluster_cluster001_flow_control_interval_low  | 173                                                                                                                                                                              |
| cluster_cluster001_flow_control_interval_high | 173                                                                                                                                                                              |
| cluster_cluster001_flow_control_status        | OFF                                                                                                                                                                              |
| cluster_cluster001_cert_deps_distance         | 21.239662                                                                                                                                                                        |
| cluster_cluster001_apply_oooe                 | 0.000000                                                                                                                                                                         |
| cluster_cluster001_apply_oool                 | 0.000000                                                                                                                                                                         |
| cluster_cluster001_apply_window               | 1.000000                                                                                                                                                                         |
| cluster_cluster001_commit_oooe                | 0.000000                                                                                                                                                                         |
| cluster_cluster001_commit_oool                | 0.000000                                                                                                                                                                         |
| cluster_cluster001_commit_window              | 1.000000                                                                                                                                                                         |
| cluster_cluster001_local_state                | 4                                                                                                                                                                                |
| cluster_cluster001_local_state_comment        | Synced                                                                                                                                                                           |
| cluster_cluster001_cert_index_size            | 30                                                                                                                                                                               |
| cluster_cluster001_cert_bucket_count          | 258                                                                                                                                                                              |
| cluster_cluster001_gcache_pool_size           | 3295688                                                                                                                                                                          |
| cluster_cluster001_causal_reads               | 0                                                                                                                                                                                |
| cluster_cluster001_cert_interval              | 0.000000                                                                                                                                                                         |
| cluster_cluster001_open_transactions          | 0                                                                                                                                                                                |
| cluster_cluster001_open_connections           | 0                                                                                                                                                                                |
| cluster_cluster001_ist_receive_status         |                                                                                                                                                                                  |
| cluster_cluster001_ist_receive_seqno_start    | 0                                                                                                                                                                                |
| cluster_cluster001_ist_receive_seqno_current  | 0                                                                                                                                                                                |
| cluster_cluster001_ist_receive_seqno_end      | 0                                                                                                                                                                                |
| cluster_cluster001_incoming_addresses         | 1.1.1.72:9312,1.1.1.72:9313:replication,1.1.1.70:9312,1.1.1.70:9313:replication,1.1.1.71:9312,1.1.1.71:9313:replication                                                          |
| cluster_cluster001_cluster_weight             | 3                                                                                                                                                                                |
| cluster_cluster001_desync_count               | 0                                                                                                                                                                                |
| cluster_cluster001_evs_delayed                |                                                                                                                                                                                  |
| cluster_cluster001_evs_evict_list             |                                                                                                                                                                                  |
| cluster_cluster001_evs_repl_latency           | 0/0/0/0/0                                                                                                                                                                        |
| cluster_cluster001_evs_state                  | OPERATIONAL                                                                                                                                                                      |
| cluster_cluster001_gcomm_uuid                 | c57a571d-ec98-11f0-9c1b-fb0dafc31d2f                                                                                                                                             |
+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
