# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,
http_backend_backend_py07,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2,2,3106337,0,,1,25,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11245,,http,,,,,,,,
http_backend_backend_py07,frontB.server,0,0,0,1,,1,457,211,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,25,2,,1,,2,0,,1,L7OK,200,1,0,1,0,0,0,0,,,,,0,0,,,,,1209291,HTTP content check matched,,0,0,1,1,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11245,,http,,,,,,,,
http_backend_backend_py07,BACKEND,0,0,0,1,1800,1,457,211,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,25,0,,1,,1,0,,1,,,,0,1,0,0,0,0,,,,1,0,0,0,0,0,0,1209291,,,0,0,1,1,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_py06,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,1,1,5351507,0,,1,26,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11385,,http,,,,,,,,
http_backend_backend_py06,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,26,2,,0,,2,0,,0,L7OK,200,4,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11385,,http,,,,,,,,
http_backend_backend_py06,BACKEND,0,0,0,0,900,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,26,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_py05,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2,2,3106335,0,,1,27,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11405,,http,,,,,,,,
http_backend_backend_py05,frontB.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,0,0,5912011,0,,1,27,2,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.21:11405,,http,,,,,,,,
http_backend_backend_py05,BACKEND,0,0,0,0,900,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,5912011,0,,1,27,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,http,roundrobin,,,,,,,
http_backend_backend_py04,frontA.server,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,2,2,3106334,0,,1,28,1,,0,,2,0,,0,L7OK,200,5,0,0,0,0,0,0,,,,,0,0,,,,,-1,HTTP content check matched,,0,0,0,0,,,,Layer7 check passed,,5,1,5,,,,10.4.103.20:11425,,http,,,,,,,,
